id,base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
1,Leather Headgear,Iron Ore,2,,,,,,
2,Leather Mail,Iron Ore,1,,,,,,
3,Leather Gloves,Iron Ore,1,,,,,,
4,Leather Belt,Iron Ore,1,,,,,,
5,Leather Trousers,Iron Ore,1,,,,,,
6,Chainmail Headgear,Iron Ore,2,,,,,,
7,Chainmail Vest,Iron Ore,1,,,,,,
8,Chainmail Gloves,Iron Ore,1,,,,,,
9,Chainmail Belt,Iron Ore,1,,,,,,
10,Chainmail Trousers,Iron Ore,1,,,,,,
11,Hunter's Headgear,Jagras Hide,2,Jagras Scale,2,,,,
12,Hunter's Mail,Jagras Hide,2,Monster Bone S,2,,,,
13,Hunter's Vambraces,Jagras Hide,1,Jagras Scale,1,,,,
14,Hunter's Coil,Jagras Hide,1,Monster Bone S,1,,,,
15,Hunter's Greaves,Jagras Hide,1,Monster Bone S,1,,,,
16,Bone Helm,Monster Bone S,2,Ancient Bone,2,,,,
17,Bone Mail,Monster Bone S,1,Ancient Bone,1,,,,
18,Bone Vambraces,Monster Bone S,3,Kestodon Shell,2,,,,
19,Bone Coil,Monster Bone S,1,Kestodon Shell,1,,,,
20,Bone Greaves,Monster Bone S,1,Ancient Bone,1,,,,
21,Vespoid Helm,Vespoid Shell,2,Iron Ore,2,,,,
22,Vespoid Mail,Vespoid Shell,1,Machalite Ore,1,,,,
23,Vespoid Vambraces,Vespoid Wing,2,Monster Fluid,1,,,,
24,Vespoid Coil,Vespoid Shell,1,Iron Ore,4,,,,
25,Vespoid Greaves,Vespoid Wing,2,Monster Fluid,1,,,,
26,Kestodon Guards,Kestodon Shell,6,Kestodon Scalp,3,,,,
27,Gajau Boots,Gajau Skin,4,Gajau Whisker,2,,,,
28,Jagras Helm,Great Jagras Hide,2,Great Jagras Mane,2,Great Jagras Claw,2,Ancient Bone,1
29,Jagras Mail,Great Jagras Hide,2,Great Jagras Claw,1,Great Jagras Scale,2,Monster Bone S,3
30,Jagras Vambraces,Great Jagras Scale,2,Great Jagras Hide,1,Jagras Hide,3,,
31,Jagras Coil,Great Jagras Hide,1,Great Jagras Mane,1,Great Jagras Scale,2,Sharp Claw,2
32,Jagras Greaves,Great Jagras Scale,1,Great Jagras Hide,1,Great Jagras Mane,1,Jagras Scale,2
33,Kulu Headpiece,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Kulu-Ya-Ku Plume,1,,
34,Kulu Mail,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Plume,1,Kulu-Ya-Ku Beak,1,Machalite Ore,2
35,Kulu Vambraces,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Iron Ore,3,,
36,Kulu Coil,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Beak,1,Wingdrake Hide,2,,
37,Kulu Greaves,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3,Wingdrake Hide,2,,
38,Alloy Helm,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,
39,Alloy Mail,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
40,Alloy Vambraces,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
41,Alloy Coil,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,
42,Alloy Greaves,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
43,Pukei Hood,Pukei-Pukei Shell,2,Pukei-Pukei Tail,1,Pukei-Pukei Quill,2,Machalite Ore,2
44,Pukei Mail,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1,Iron Ore,3,,
45,Pukei Vambraces,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1,Poison Sac,1,,
46,Pukei Coil,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1,Pukei-Pukei Sac,1,Poison Sac,1
47,Pukei Greaves,Pukei-Pukei Shell,2,Pukei-Pukei Sac,1,Pukei-Pukei Scale,2,Monster Bone M,1
