id,id_item,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon
1,1,Leather Headgear,1,head,both,0,0,0,2,38,68,2,0,0,0,0
2,2,Leather Mail,1,chest,both,0,0,0,2,38,68,2,0,0,0,0
3,3,Leather Gloves,1,arms,both,0,0,0,2,38,68,2,0,0,0,0
4,4,Leather Belt,1,waist,both,0,0,0,2,38,68,2,0,0,0,0
5,5,Leather Trousers,1,legs,both,0,0,0,2,38,68,2,0,0,0,0
6,6,Chainmail Headgear,1,head,both,0,0,0,2,38,68,0,2,0,0,0
7,7,Chainmail Vest,1,chest,both,0,0,0,2,38,68,0,2,0,0,0
8,8,Chainmail Gloves,1,arms,both,0,0,0,2,38,68,0,2,0,0,0
9,9,Chainmail Belt,1,waist,both,0,0,0,2,38,68,0,2,0,0,0
10,10,Chainmail Trousers,1,legs,both,0,0,0,2,38,68,0,2,0,0,0
11,11,Hunter's Headgear,1,head,both,0,0,0,6,42,72,2,2,0,0,0
12,12,Hunter's Mail,1,chest,both,0,0,0,6,42,72,2,2,0,0,0
13,13,Hunter's Vambraces,1,arms,both,0,0,0,6,42,72,2,2,0,0,0
14,14,Hunter's Coil,1,waist,both,0,0,0,6,42,72,2,2,0,0,0
15,15,Hunter's Greaves,1,legs,both,0,0,0,6,42,72,2,2,0,0,0
16,16,Bone Helm,1,head,both,0,0,0,6,42,72,2,0,2,0,2
17,17,Bone Mail,1,chest,both,0,0,0,6,42,72,2,0,2,0,2
18,18,Bone Vambraces,1,arms,both,0,0,0,6,42,72,2,0,2,0,2
19,19,Bone Coil,1,waist,both,0,0,0,6,42,72,2,0,2,0,2
20,20,Bone Greaves,1,legs,both,0,0,0,6,42,72,2,0,2,0,2
21,21,Vespoid Helm,1,head,both,0,0,0,8,44,74,-2,1,1,1,2
22,22,Vespoid Mail,1,chest,both,0,0,0,8,44,74,-2,1,1,1,2
23,23,Vespoid Vambraces,1,arms,both,0,0,0,8,44,74,-2,1,1,1,2
24,24,Vespoid Coil,1,waist,both,0,0,0,8,44,74,-2,1,1,1,2
25,25,Vespoid Greaves,1,legs,both,0,0,0,8,44,74,-2,1,1,1,2
26,26,Kestodon Guards,1,arms,both,0,0,0,12,48,78,4,0,0,0,0
27,27,Gajau Boots,1,legs,both,0,0,0,12,48,78,0,5,0,0,0
28,28,Jagras Helm,1,head,both,0,0,0,8,44,74,-2,2,-1,-1,1
29,29,Jagras Mail,1,chest,both,0,0,0,8,44,74,-2,2,-1,-1,1
30,30,Jagras Vambraces,1,arms,both,0,0,0,8,44,74,-2,2,-1,-1,1
31,31,Jagras Coil,1,waist,both,0,0,0,8,44,74,-2,2,-1,-1,1
32,32,Jagras Greaves,1,legs,both,0,0,0,8,44,74,-2,2,-1,-1,1
33,33,Kulu Headpiece,1,head,both,0,0,0,10,46,76,0,-3,0,1,0
34,34,Kulu Mail,1,chest,both,0,0,0,10,46,76,0,-3,0,1,0
35,35,Kulu Vambraces,1,arms,both,0,0,0,10,46,76,0,-3,0,1,0
36,36,Kulu Coil,1,waist,both,0,0,0,10,46,76,0,-3,0,1,0
37,37,Kulu Greaves,1,legs,both,0,0,0,10,46,76,0,-3,0,1,0
38,38,Alloy Helm,2,head,both,0,0,0,8,40,66,-2,1,-2,-2,1
39,39,Alloy Mail,2,chest,both,0,0,0,8,40,66,-2,1,-2,-2,1
40,40,Alloy Vambraces,2,arms,both,0,0,0,8,40,66,-2,1,-2,-2,1
41,41,Alloy Coil,2,waist,both,0,0,0,8,40,66,-2,1,-2,-2,1
42,42,Alloy Greaves,2,legs,both,0,0,0,8,40,66,-2,1,-2,-2,1
43,43,Pukei Hood,2,head,both,0,0,0,12,44,70,0,3,-3,0,1
44,44,Pukei Mail,2,chest,both,0,0,0,12,44,70,0,3,-3,0,1
45,45,Pukei Vambraces,2,arms,both,0,0,0,12,44,70,0,3,-3,0,1
46,46,Pukei Coil,2,waist,both,0,0,0,12,44,70,0,3,-3,0,1
47,47,Pukei Greaves,2,legs,both,0,0,0,12,44,70,0,3,-3,0,1
48,48,Barroth Helm,2,head,both,0,0,0,14,46,72,-3,-1,3,-1,0
49,49,Barroth Mail,2,chest,both,0,0,0,14,46,72,-3,-1,3,-1,0
50,50,Barroth Vambraces,2,arms,both,0,0,0,14,46,72,-3,-1,3,-1,0
51,51,Barroth Coil,2,waist,both,0,0,0,14,46,72,-3,-1,3,-1,0
52,52,Barroth Greaves,2,legs,both,0,0,0,14,46,72,-3,-1,3,-1,0
53,53,Jyura Helm,2,head,both,0,0,0,14,46,72,-1,2,-3,0,0
54,54,Jyura Mail,2,chest,both,0,0,0,14,46,72,-1,2,-3,0,0
55,55,Jyura Vambraces,2,arms,both,0,0,0,14,46,72,-1,2,-3,0,0
56,56,Jyura Coil,2,waist,both,0,0,0,14,46,72,-1,2,-3,0,0
57,57,Jyura Greaves,2,legs,both,0,0,0,14,46,72,-1,2,-3,0,0
58,58,Kadachi Helm,2,head,both,0,0,0,16,48,74,0,-3,3,0,0
59,59,Kadachi Mail,2,chest,both,0,0,0,16,48,74,0,-3,3,0,0
60,60,Kadachi Vambraces,2,arms,both,0,0,0,16,48,74,0,-3,3,0,0
61,61,Kadachi Coil,2,waist,both,0,0,0,16,48,74,0,-3,3,0,0
62,62,Kadachi Greaves,2,legs,both,0,0,0,16,48,74,0,-3,3,0,0
63,63,High Metal Helm,3,head,both,0,0,0,18,46,70,0,-1,-2,3,0
64,64,High Metal Mail,3,chest,both,0,0,0,18,46,70,0,-1,-2,3,0
65,65,High Metal Braces,3,arms,both,0,0,0,18,46,70,0,-1,-2,3,0
