id,base_name_en,rank,condition_en,item_en,stack,percentage
2,Aptonoth,LR,Body Carve,Raw Meat,1,100
3,Aptonoth,HR,Body Carve,Raw Meat,1,100
4,Jagras,LR,Body Carve,Jagras Hide,1,50
5,Jagras,LR,Body Carve,Jagras Scale,1,30
6,Jagras,LR,Body Carve,Sharp Claw,1,20
7,Jagras,LR,Hunt (Bronze),Jagras Hide,1,40
8,Jagras,LR,Hunt (Bronze),Jagras Scale,1,20
9,Jagras,LR,Hunt (Bronze),Sharp Claw,1,20
10,Jagras,LR,Hunt (Bronze),Monster Bone S,2,20
11,Jagras,HR,Body Carve,Jagras Hide+,1,50
12,Jagras,HR,Body Carve,Jagras Scale+,1,30
13,Jagras,HR,Body Carve,Piercing Claw,1,20
14,Jagras,HR,Hunt (Bronze),Jagras Hide+,1,40
15,Jagras,HR,Hunt (Bronze),Jagras Scale,1,20
16,Jagras,HR,Hunt (Bronze),Piercing Claw,1,20
17,Jagras,HR,Hunt (Bronze),Sturdy Bone,2,20
18,Mernos,LR,Body Carve,Wingdrake Hide,1,70
19,Mernos,LR,Body Carve,Raw Meat,1,30
20,Mernos,LR,Hunt (Bronze),Wingdrake Hide,1,30
21,Mernos,LR,Hunt (Bronze),Monster Bone S,1,25
22,Mernos,LR,Hunt (Bronze),Warm Pelt,1,25
23,Mernos,LR,Hunt (Bronze),Raw Meat,2,20
24,Mernos,HR,Body Carve,Wingdrake Hide+,1,70
25,Mernos,HR,Body Carve,Raw Meat,1,30
26,Mernos,HR,Hunt (Bronze),Wingdrake Hide+,1,30
27,Mernos,HR,Hunt (Bronze),Sturdy Bone,1,25
28,Mernos,HR,Hunt (Bronze),High-quality Pelt,1,25
29,Mernos,HR,Hunt (Bronze),Raw Meat,4,20
30,Vespoid,LR,Body Carve,Vespoid Shell,1,42
31,Vespoid,LR,Body Carve,Vespoid Wing,1,35
32,Vespoid,LR,Body Carve,Monster Fluid,1,23
33,Vespoid,LR,Hunt (Bronze),Vespoid Shell,1,30
34,Vespoid,LR,Hunt (Bronze),Vespoid Wing,1,30
35,Vespoid,LR,Hunt (Bronze),Monster Fluid,1,25
36,Vespoid,LR,Hunt (Bronze),Honey,3,15
37,Vespoid,HR,Body Carve,Vespoid Carapace,1,42
38,Vespoid,HR,Body Carve,Vespoid Innerwing,1,35
39,Vespoid,HR,Body Carve,Monster Broth,1,23
40,Vespoid,HR,Hunt (Bronze),Vespoid Carapace,1,28
41,Vespoid,HR,Hunt (Bronze),Vespoid Innerwing,1,24
42,Vespoid,HR,Hunt (Bronze),Monster Broth,1,22
43,Vespoid,HR,Hunt (Bronze),Honey,6,14
44,Vespoid,HR,Hunt (Bronze),Monster Fluid,2,12
45,Mosswine,LR,Body Carve,Mosswine Hide,1,100
46,Mosswine,HR,Body Carve,Mosswine Hide,1,100
47,Apceros,LR,Body Carve,Raw Meat,1,100
48,Apceros,HR,Body Carve,Raw Meat,1,100
49,Kestodon,LR,Body Carve,Kestodon Shell,1,70
50,Kestodon,LR,Body Carve,Kestodon Scalp,1,30
51,Kestodon,LR,Hunt (Bronze),Kestodon Shell,1,44
52,Kestodon,LR,Hunt (Bronze),Kestodon Scalp,1,30
53,Kestodon,LR,Hunt (Bronze),Monster Bone S,2,26
54,Kestodon,HR,Body Carve,Kestodon Carapace,1,70
55,Kestodon,HR,Body Carve,Kestodon Scalp,1,30
56,Kestodon,HR,Hunt (Bronze),Kestodon Carapace,1,44
57,Kestodon,HR,Hunt (Bronze),Kestodon Scalp,1,30
58,Kestodon,HR,Hunt (Bronze),Sturdy Bone,1,26
59,Kestodon,MR,Hunt (Bronze),Kestodon Scalp,1,35
60,Kestodon,MR,Hunt (Bronze),Kestodon Husk,1,26
61,Kestodon,MR,Hunt (Bronze),Quality Bone,1,25
62,Kestodon,MR,Hunt (Bronze),Ancient Bone,2,14
