id,base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
2,Defender Great Sword I,great-sword,Create,Iron Ore,1,,,,,,
3,Defender Great Sword II,great-sword,Upgrade,Anjanath Scale,1,,,,,,
4,Defender Great Sword III,great-sword,Upgrade,Commendation,1,,,,,,
5,Defender Great Sword IV,great-sword,Upgrade,Pink Rathian Scale+,1,,,,,,
6,Defender Great Sword V,great-sword,Upgrade,Immortal Dragonscale,1,,,,,,
7,Buster Sword I,great-sword,Create,Iron Ore,1,,,,,,
8,Buster Sword II,great-sword,Upgrade,Iron Ore,2,,,,,,
9,Buster Sword III,great-sword,Upgrade,Earth Crystal,2,Machalite Ore,2,Iron Ore,5,,
10,Buster Blade I,great-sword,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
11,Buster Blade II,great-sword,Upgrade,Monster Bone+,2,Dragonite Ore,5,Coral Crystal,2,Machalite Ore,10
12,Buster Blade III,great-sword,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
13,Chrome Razor I,great-sword,Upgrade,Fucium Ore,8,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3
14,Chrome Razor II,great-sword,Upgrade,Elder Dragon Blood,2,Fucium Ore,13,Carbalite Ore,20,Firecell Stone,1
15,Chrome Deathscythe I,great-sword,Create,Eltalite Ore,6,Carbalite Ore,10,Firecell Stone,2,Purecrystal,1
16,Chrome Deathscythe I,great-sword,Upgrade,Eltalite Ore,2,Carbalite Ore,4,Spiritvein Crystal,2,Gracium,1
17,Chrome Deathscythe II,great-sword,Upgrade,Monster Slogbone,3,Eltalite Ore,4,Meldspar Ore,2,Bathycite Ore,2
18,Chrome Deathscythe III,great-sword,Upgrade,Pure Dragon Blood,3,Eltalite Ore,6,Meldspar Ore,3,Purecrystal,1
19,Nergal Judicator,great-sword,Upgrade,Nergigante Talon,3,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Carapace,2
